outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,5769,2795,41,22,2795,22,63,1,17.158581,11.000915,.11882105,-4.4028172,38.719978,49.915195,.34375465,-.088205948,.77571523,1.9294087,9.2097807,4.7276649,4.7276649,.049458101,.023358637,0,weak_interaction_instruments,0,,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,6075,2795,43,22,2795,22,45,1,15.532683,12.080205,.19851416,-8.144084,39.20945,49.92347,.31112987,-.16313137,.78539115,1.00142,4.1161265,2.7913706,2.7913706,.099562041,.097984113,0,underidentified,0,,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,6075,2795,43,22,2795,22,65,1,15.532683,12.000801,.1955605,-7.9884558,39.053822,49.92347,.31112987,-.16001403,.78227377,1.0296096,4.0346231,2.7495735,2.7495735,.097149298,.11284685,0,underidentified,0,1,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,6075,2795,43,22,2795,22,65,1,-50.147541,233.12074,.82967842,-507.05579,406.76071,49.955795,-1.0038383,-10.150089,8.1424122,.024136268,.051910445,.048465703,.048465703,.81314856,.36723244,0,underidentified,0,,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,6075,2795,43,22,2795,22,49,1,15.532683,11.829967,.18918477,-7.6536269,38.718994,49.92347,.31112987,-.1533072,.77556694,1.0668159,3.894769,2.9198139,2.9198139,.092578225,.12093864,0,underidentified,0,,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,8000,14927,59,31,8000,31,90,1,36.590591,77.242889,.63570803,-114.8027,187.98387,49.901627,.73325443,-2.3005803,3.7670889,.11156969,.25741029,.25190097,.25190097,.63620591,.3834129,0,underidentified,0,,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,4818,2174,29,15,2174,15,44,1,30.404343,52.395775,.56172425,-72.28949,133.09818,49.92099,.60904926,-1.4480779,2.6661766,.14738998,.40079021,.29880193,.29880193,.57464093,.12072985,0,underidentified,0,,
I01,female_2013,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,6075,2795,43,22,2795,22,65,1,7.7921391,4.2051315,.06388133,-.44976753,16.034046,49.92347,.15608168,-.0090091405,.32117251,,,,,,,0,secondary_assignment_supported,0,.766575962305069,
I02,age_15_29_outcome,Age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,5769,2795,41,22,2795,22,63,1,36.664902,24.844753,.14000823,-12.029919,85.359718,45.6786,.80267131,-.26336005,1.8687027,1.9294087,9.2097807,4.7276649,4.7276649,.049458101,.0010428643,0,weak_interaction_instruments,0,,
I02,age_15_29_outcome,Age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,6075,2795,43,22,2795,22,45,1,48.262131,33.858719,.15404238,-18.099743,114.624,45.775349,1.0543257,-.39540368,2.5040553,1.00142,4.1161265,2.7913706,2.7913706,.099562041,.0019248459,0,underidentified,0,,
