outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,2477,1198,41,22,1198,22,63,1,.20193008,.60054302,.73668551,-.97511262,1.3789728,1.8233032,.11074959,-.53480548,.75630468,1.9267073,9.1968861,4.721046,4.721046,.049458101,.94514894,0,weak_interaction_instruments,0,,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,2612,1198,43,22,1198,22,45,1,.20117734,.62610644,.74797177,-1.0259688,1.4283234,1.8145717,.11086767,-.56540549,.78714079,1.0003692,4.1118073,2.7884414,2.7884414,.099562041,.94562644,0,underidentified,0,,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,2612,1198,43,22,1198,22,65,1,.20117734,.64816725,.75627297,-1.0692071,1.4715618,1.8145717,.11086767,-.58923388,.81096917,1.0285292,4.0303893,2.7466884,2.7466884,.097149298,.9437902,0,underidentified,0,1,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,household_equal,ccpp,.0075,2612,1198,43,22,1198,22,65,1,.62101924,14.00972,.96464318,-26.837528,28.079567,1.7913898,.34666896,-14.9814,15.674738,.0020349594,.0041149901,.0040704347,.0040704347,.94783121,.98395324,0,underidentified,0,,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,2612,1198,43,22,1198,22,49,1,.20117734,.65308434,.75805044,-1.0788444,1.4811991,1.8145717,.11086767,-.59454495,.81628031,1.0656965,3.890682,2.9167502,2.9167502,.092578225,.95086747,0,underidentified,0,,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,3395,5088,59,31,3395,31,90,1,-1.1960499,3.4103634,.72580564,-7.8802395,5.4881396,1.786869,-.66935509,-4.4100819,3.0713718,.11151166,.25727642,.25176996,.25176996,.63620591,.55067563,0,underidentified,0,,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2049,960,29,15,960,15,44,1,-.66838408,1.2104468,.58082527,-3.0408161,1.704048,1.825411,-.36615539,-1.6658255,.93351477,.14719436,.4002583,.29840538,.29840538,.57464093,.27090284,0,underidentified,0,,
H01,hh_members_2013,Rostered household members,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,2612,1198,43,22,1198,22,65,1,-.44281289,.27005318,.10106242,-.97210741,.086481638,1.8145717,-.24403162,-.53572279,.047659531,,,,,,,0,secondary_assignment_supported,0,.7074369192123413,
H02,hh_share_female_2013,Female household members,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,2477,1198,41,22,1198,22,63,1,19.009308,11.16467,.088637218,-2.8730423,40.891659,30.228008,.62886411,-.095045708,1.3527739,1.9267073,9.1968861,4.721046,4.721046,.049458101,.0030869576,0,weak_interaction_instruments,0,,
H02,hh_share_female_2013,Female household members,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,2612,1198,43,22,1198,22,45,1,17.100388,12.132358,.15869154,-6.678597,40.879372,30.083708,.56842685,-.22200046,1.3588542,1.0003692,4.1118073,2.7884414,2.7884414,.099562041,.21720193,0,underidentified,0,,
