analysis_id,wave,level,outcome_id,outcome_var,predictor_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,source_result_file,canonical_spec,supporting_specs,multiplicity_family,denominator,estimand_label,paper_role,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh,analysis_status
M13H_H03,2013,household,H03,hh_employment_rate_outcome,,Employed working-age members,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_household,Members age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,main,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,65,4.9063826,7.7967396,8.2731152,.34597826,-8.4182682,24.011747,,,,,0,1,.92044914,estimated
M13H_H03,2013,household,H03,hh_employment_rate_outcome,,Employed working-age members,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_household,Members age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,main,parametric_common_h,parametric_late,ivreg2,selected_bc_primary_household,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,.0074999998,.0074999998,.0074999998,.0135,.0135,100,3810,2612,1198,43,22,65,7.3007813,7.3007813,10.698714,.49498731,-13.668698,28.27026,11.096713,.48918504,.52350467,.0177590902894735,0,1,.92067391,estimated
M13H_M01,2013,household,M01,wellbeing_connectivity_2013,,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,fuzzy_late_on_mechanism_outcome,mechanism,common_h_reduced_form,reduced_form,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-3.145618,-3.8235507,5.1944675,.46168119,-14.00452,6.3574185,,,,,0,1,.91529548,estimated
M13H_M01,2013,household,M01,wellbeing_connectivity_2013,,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,fuzzy_late_on_mechanism_outcome,mechanism,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13H_M02,2013,household,M02,asset_internet_2013,,Household has internet access,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,fuzzy_late_on_mechanism_outcome,mechanism,common_h_reduced_form,reduced_form,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-.026251186,.016775535,.15772173,.91529548,-.29235336,.32590446,,,,,0,1,.91529548,estimated
M13H_M02,2013,household,M02,asset_internet_2013,,Household has internet access,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,fuzzy_late_on_mechanism_outcome,mechanism,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13H_M03,2013,household,M03,asset_cable_2013,,Household has cable service,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,fuzzy_late_on_mechanism_outcome,mechanism,common_h_reduced_form,reduced_form,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-.076425292,-.43479371,1.4023283,.75652194,-3.1833065,2.313719,,,,,0,1,.91529548,estimated
M13H_M03,2013,household,M03,asset_cable_2013,,Household has cable service,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,fuzzy_late_on_mechanism_outcome,mechanism,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13H_S16,2013,household,S16,hh_lfp_outcome,,Working-age members in the labor force,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013_household,Members age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42350,2830,1267,43,22,65,5.8833199,8.913681,8.3250475,.28430149,-7.4031124,25.230474,,,,,0,.56860298,.53787279,estimated
M13H_S16,2013,household,S16,hh_lfp_outcome,,Working-age members in the labor force,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013_household,Members age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13H_S17,2013,household,S17,hh_unemployment_rate_outcome,,Unemployed household labor-force members,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013_household,Household labor-force members age 14 or older,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,37128,2493,1080,43,22,65,.1841397,.39633831,.643372,.53787279,-.86464757,1.6573242,,,,,0,.56860298,.53787279,estimated
M13H_S17,2013,household,S17,hh_unemployment_rate_outcome,,Unemployed household labor-force members,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_household_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013_household,Household labor-force members age 14 or older,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_I04,2013,individual,I04,employed_2013,,Employed in the preceding month,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_individual,Persons age 14 or older with valid education and labor status,fuzzy_late_on_mechanism_outcome,main,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,7.3153028,10.295955,7.8702693,.19080251,-5.1294894,25.721399,,,,,0,1,.61712146,estimated
M13I_I04,2013,individual,I04,employed_2013,,Employed in the preceding month,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_individual,Persons age 14 or older with valid education and labor status,fuzzy_late_on_mechanism_outcome,main,parametric_common_h,parametric_late,ivreg2,selected_bc_primary_individual,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,.0074999998,.0074999998,.0074999998,.0135,.0135,100,8870,6075,2795,43,22,65,10.885296,10.885296,10.233179,.28745297,-9.1717358,30.942327,11.101704,.28331497,.31326264,.0177590902894735,0,1,.53460425,estimated
M13I_I05,2013,individual,I05,worker_independent_2013,,Independent worker,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_individual,Persons age 14 or older with valid education and labor status,fuzzy_late_on_mechanism_outcome,main,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,2.9326046,4.4432654,9.8061285,.65046877,-14.776393,23.662924,,,,,0,1,.65046877,estimated
M13I_I05,2013,individual,I05,worker_independent_2013,,Independent worker,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_individual,Persons age 14 or older with valid education and labor status,fuzzy_late_on_mechanism_outcome,main,parametric_common_h,parametric_late,ivreg2,selected_bc_primary_individual,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,.0074999998,.0074999998,.0074999998,.0135,.0135,100,8870,6075,2795,43,22,65,4.3637657,4.3637657,12.435684,.7256583,-20.010176,28.737707,11.101704,.72547174,.74454892,.0177590902894735,0,1,.7256583,estimated
M13I_S38,2013,individual,S38,labor_force_age14_2013,,In the labor force,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,7.3054304,10.399835,7.9119406,.18869548,-5.1072841,25.906954,,,,,0,1,.50318795,estimated
M13I_S38,2013,individual,S38,labor_force_age14_2013,,In the labor force,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_S39,2013,individual,S39,unemployed_lf_2013,,Unemployed,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Labor-force participants age 14 or older,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,50594,3255,1398,43,22,65,.16137478,.41936257,.69326633,.54523993,-.93941444,1.7781396,,,,,0,1,.8136242,estimated
M13I_S39,2013,individual,S39,unemployed_lf_2013,,Unemployed,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Labor-force participants age 14 or older,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_S40,2013,individual,S40,worker_dependent_2013,,Dependent worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-1.2862788,-1.322138,2.9969378,.65909499,-7.1960278,4.5517521,,,,,0,1,.8136242,estimated
M13I_S40,2013,individual,S40,worker_dependent_2013,,Dependent worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_S41,2013,individual,S41,worker_employer_2013,,Employer,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,.017951246,.0094250329,.10664744,.92957813,-.19960012,.21845017,,,,,0,1,.92957813,estimated
M13I_S41,2013,individual,S41,worker_employer_2013,,Employer,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13I_S42,2013,individual,S42,worker_domestic_2013,,Domestic worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_individual,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,98005,6075,2795,43,22,65,-.1367249,-.14452323,.20998479,.49129176,-.55608588,.26703939,,,,,0,1,.8136242,estimated
M13I_S42,2013,individual,S42,worker_domestic_2013,,Domestic worker,labor_status,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_individual_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_status_2013_individual,Persons age 14 or older with valid labor status,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
